EIN,Organization Name
426252638,HARRY AND WINNIE MCNAY EDUCATION TRUST
466034811,DOROTHY D GRAHAM SCHOLARSHIP FUND
416438510,E DAVID FISCHMAN SCHOLARSHIP FUND
436517200,ARTHUR KENNETT JR EDUCATIONAL FUND 273390T
223973467,STUDENT GRANT PROGRAM INC
256030358,CHARLES LE GEYT FORTESCUE FUND C/O DC KORB TTEE
300121127,ERIC J DROBINSKI MEMORIAL SCHOLARSHIP FUND
301018440,SEXSON MEMORIAL MUSIC SCHOLARSHIP FUND
136062187,MAY BILLINGTON & GEORGE L HENDERSO N SCHOLARSHIP FUND
136093185,UNITED STATES STEEL FOUNDATION INC
136164101,DR HARRY BRITENSTOOL SCHOLARSHIP FUND A R51416007
137221515,ROSA C & HENRY A SAUTER SCHOLARSHIP FUND
146014863,CHARLES M & JULIA C HARRINGTON SCHOLARSHIP FUND
146134451,THAYER FAMILY SCHOLARSHIP TRUST
146135482,MAJORIE R DUNN TRUST UW FOR O R DUNN SCHOLARSHIP
201859199,MONTERA ENDOWED SCHOLARSHIP FUND
166032562,SACKETT-ARCHBISHOP WALSH SCHOLARSHIP TR
200064053,HAZEL AND THEODORE JOHNSON SCHOLARSHIP FUND
202193198,RAY BENTDAHL SCHOLARSHIP FOUNDATION
202403787,JACK MOON SCHOLARSHIP FOUNDATION
205160913,GERALD AND VIRGINIA ROSE FOUNDATION
205474305,LOS ANGELES FIRE DEPARTMENT SCHOLARSHIP FUND
202462203,WILLIAM CLAY FORD JR SCHOLARSHIP FUND
206732757,JOHN L & ANN TAYLOR SCHOLARSHIP TR
226312357,GEORGE RIESTER SCHOLARSHIP FUND TRUST UW
436248269,JAMES L & NELLIE M WESTLAKE SCHOLARSHIP FOUNDATION 160940K MER
232663304,CLARENCE & MIRIAM ROSENBERGER SCHOLARSHIP FUND
236221080,EDITH A GORSUCH TW C W GORSUCH FUND
134196881,NEEDHAM SEPTEMBER 11TH SCHOLARSHIP FUND
236688479,MARTIN H ZIMMERMAN SCHOLARSHIP TR
236799159,MERKEL MEMORIAL SCHOLARSHIP ENDOWMENT PHILADELPHIA NATIONAL BA
236851059,JOHN J & MILDRED M BEATTIE SCHOLARSHIP FUND 1194004649
436267095,KATHERINE STAUFFER CHARITABLE TRUST 173490F
204143271,TREK SCHOLARSHIP FOUNDATION INC
204870780,FAIRFIELD BUSINESS AND PROFESSIONAL WOMENS FOUNDATION
237156880,RAINBOW DIVISION VETERANS MEMORIAL FOUNDATION INC
207318046,TOMPKINS-WOLF SCHOLARSHIP TR
436294428,FRANK & ELIZABETH TAYLOE SCHAFER SCHOLARSHIP FUND
222623144,HAROLD C & KATRINA J CLARK IRREVOCABLE SCHOLARSHIP FUND
222753510,TRUST UA FLORENCE D ATWOOD FOR BROOKS SCHOLARSHIP FUND
256833490,NORMAN H AND MARY T LUTZ SCHOLARSHIP FUND
256841189,SAMUEL L POWELL TR FBO EDITH WIMBISH POWELL SCHOLARSHIP
256854061,THE@STANLEY M HECK AND RUTH HECK DETTERLINE SCHOLARSHIP FOUNDATION
136591416,ROMER C BORST TR UW FBO PEARL RIVER HIGH SCHOOL SCHOLARSHIP FUND 2
260297095,THE SAMUEL & RUTH SONG FOUNDATION
231352110,INDEPENDENCE FOUNDATION
232383577,LIPPERT SCHOLARSHIP TRUST
264639594,FREEMAN & NORMA MORGAN SCHOLARSHIP FUND
264673060,THE MARION SABEN PEEK SCHOLARSHIP TRUST
264799010,AILEEN FLANARY EDUCATIONAL FUND
391859490,RICHARD A PILAK MEMORIAL SCHOLARSHIP CHARITABLE TRUST
232825756,THE ANGELO BROTHERS COMPANY FOUNDERS SCHOLARSHIP FOUNDATION
236227860,H F MCCULLOUGH MEMORIAL SCHOLARSHIP FUND RES TR
236251862,HASSEL FOUNDATION
272399226,KATHY SIMON FAMILY FOUNDATION
236401674,J HARRY HIBSHMAN SCHOLARSHIP FUND
236640683,ELEANOR STARKEY SCHOLARSHIP FUND
236769593,FULTON BANK SCHOLARSHIP FOUNDATION CHAR TRUST IRREV
236790683,BERNARD F BOYLE MEMORIAL SCHOLARSHIP FUND
237122166,RACHEL FIERD CLARKE TRUST UW SCHOLARSHIP FUND C/O KEY TRUST CO
316676032,PHILLIP RALSTON MEMORIAL SCHOLARSHIP TRUST
203101604,VIRGINIA REHABILITATIONS ASSOCIATION FOUNDATION
237378122,HERMANN AND MARGERY WESCHE SCHOLARSHIP FUND
352004527,DON MILLER FOUNDATION
352028289,MANLEY MUSIC SCHOLARSHIP TR FUND UW
237718697,AMERICAN LEGION CHARLES F MORAN POST 475 SCHOLARSHIP TR
237985997,JOHN R MILLER NURSING SCHOLARSHIP
352436013,JESTIN FREEMAN FOUNDATION
364392269,SOLID ROCK FOUNDATION
364586046,HASE FAMILY SCHOLARSHIP TRUST
206930686,HOWARD A CURTIS SCHOLARSHIP FUNDTRUST
156015514,CURRAN MUSIC SCHOLARSHIP FUND
376571167,BURSON-LANDON SCHOLARSHIP FUND
383243055,JOHN HENRY COMPANY-LOU BRAND SCHOLARSHIP FOUNDATION
412098625,CAPRON FAMILY FOUNDATION
416148927,OSCAR AND MARY WILDEY MITCHELL SCHOLARSHIP FUND
416395607,TWO HARBORS HIGH SCHOOL SENIOR SCHOLARSHIP FUND
416415622,HUGHES CEDRIC SCHOLARSHIP TR
256282445,JOHN PERRONE MEMORIAL SCHOLARSHIP FUND
256644260,ROCHESTER ALUMNI SCHOLARSHIP CHARITABLE TR
256665358,PROGRESSIVE BUSINESS PUBLICATIONS FOUNDATION
256714352,BERNARD F CLEMENS SCHOLARSHIP FUND
260047433,ARTHUR AND JOAN DOLOHANTY DIETRICH FOUNDATION CORP
436064859,EWING MARION KAUFFMAN FOUNDATION
436225461,BOUR MEMORIAL SCHOLARSHIP FUND 10-00024-00
436575377,CARRIE E GROSS TRUST
452816625,ROTARY CLUB OF LITTLEFIELD TX SCHOLARSHIP TRUST
453181393,PALUWIK HERITAGE FOUNDATION
207020847,RUTH GLASER BRYAN SCHOLARSHIP TRUST
455494000,FIRSTGEN SCHOLARSHIPS
456091443,THEODORE H SEDLER SCHOLARSHIP FUND
461551009,WILSON E MAIN BIG SAFARI MEMORIAL FUND
461628941,OTEFE FOUNDATION INC
461630050,TED ELBRACHT MEMORIAL SCHOLARSHIP INC
463252749,RAY OF LIGHT SCHOLARSHIP FUND
237763668,BOSCOV-BERK-TEK INC SCHOLARSHIP FUND
466272600,JOAN AND WESLEY BUFFINGTON TR
467200163,BARRETT FAMILY FOUNDATION TR
471210025,ANDREW HABSIEGER SCHOLARSHIP FOUNDATION
474873733,MARIO J GUZMAN MEMORIAL FOUNDATION
872073190,TRAVEL & LEISURE CHARITABLE FOUNDATION
475221629,MERENDINO FOUNDATION INC
475310517,ANQUAN AND DIONNE BOLDIN SCHOLARSHIP FUND INC
477129676,THE BANKS SCHOLARSHIP TR
480930179,JUD W HINES HONORARY SCHOLARSHIP TRUST FUND
481002542,F H & CLARA MOBERLEY SCHOLARSHIP TRUST 1020019104
481202509,CLAY COUNTY EDUCATIONAL ENDOWMENT ASSOCIATION INC
486113560,KOCH FAMILY FOUNDATION
486250894,JOHN G ELLIS SCHOLARSHIP FUND
486265669,VIRGINIA EHLER LEAVENWORTH HIGH SCH SCHOLARSHIP CHARITABLE ED FUND TR
486265672,MARLIN & VIRGINIA EHLERS OSKALOOSA HIGH SCHOLARSHIP CHARITABLE ED TR
486295973,FLORENCE M ROBINSON SCHOLARSHIP TR
486297085,RALPH AND LUCILE HUNTER SCHOLARSHIP
486335963,RALPH A FRY SCHOLARSHIP TR UA
486366941,VERLE E & LORA M SOICE SCHOLARSHIP TRUST
527033946,TOM C & MARY REITCH SCHOLARSHIP
546237092,ETHEL ATHEY COOPER AND RETHA CARSON COOPER SCHOLARSHIP FUND
326245454,SCHOON EDUCATIONAL SCHOLARSHIP TR
546046865,CLIFFORD D & VIRGINIA S GRIM
566035401,R M & HATTIE L WALDROUP EDUCATIONAL FUND
566035404,FANNIE MIT CASE TRUST UW SCHOLARSHIP FUND
566114935,HENRY D & STELLA O GRAY SCHOLARSHIP TRUST
566532306,PEEWEE AND MYRTLE OWENS SCHOLARSHIP TRUST IN MEMORY OF
566549889,BILL ROGERS BONITZ SCHOLARSHIP FUND CHARITABLE FUNDS MANAGEMENT
566593070,A R BURNETTE SCHOLARSHIP FUND
570640726,T W WYLY SCHOLARSHIP FUND
576082907,RAYMOND MICHAEL COOLEY MEMORIAL SCHOLARSHIP TRUST
576094970,J W AND DORIS FLOYD MOORE SCHOLARSHIPS SOUTH CAROLINA NATL B
576139022,THE DOROTHY M FRIEND SCHOLARSHIP FUND
582024178,ARKANSAS EASTMAN SCHOLARSHIP TR
582174460,DRUID HILLS GOLF CLUB FOUNDATION
582245280,EDGAR & LOIS REICH EDUCATIONAL FOUNDATION
346779406,THE ROBERT H JENTES SCHOLARSHIP FUND
346950704,CLARK P AND LAURA A MCCOY SCHOLARSHIP TRUST
582433135,EDNA HUGHES DAVIS SCHOLARSHIP FUND
586029952,WILLIAM F COOPER SCHOLARSHIPS FUND
586157940,ADDIE KATE M JOHNSON TR UW FBO MORTON JOHNSON SCHOLARSHIP FUND
586239696,SCHOLARSHIP FUND FOR SOUTH CAROLINA STATE COLLEGE
596126988,JESSIE BALL DUPONT SCHOLARSHIP TRUST
596209248,FLORIDA LAND SURVEYORS SCHOLARSHIP FOUNDATION INC
596517267,ERNEST WOOLER MEMORIAL SCHOLARSHIP TRUST
611230563,HCA HEALTHCARE FOUNDATION
621845685,ARTIE RUTH REILLY SCHOLARSHIP FUND
621849605,T FRANKLIN CHEEK JR SCHOLARSHIP FUND
626141452,C V HOLLAND MAYBELLE HOLLAND & JOHN HOLLAND SCHOLARSHIP FUND
626325352,MACK DAVIS SCHOLARSHIP TRUST
630805093,JOANNA F REED MEDICAL SCHOLARSHIP TRUST
631225355,HANNA-SPIVEY SCHOLARSHIP FUND
631241622,PORTRAITS INC SCHOLARSHIP FOUNDATION
636019792,ROBERT R MEYER JR MEMORIAL SCHOLARSHIP TRUST
636020978,LLOYD BATRE SCHOLARSHIP TRUST FUND 32-0016-01-7
636053159,JOHN M WILL JOURNALISM SCHOLARSHIP FOUNDATION 1255000839
636086678,ANGELO SYLVESTRO FESTORAZZI SCHOLARSHIP TRUST FUND
636166146,FORREST C & MINNIE OATES SCHOLARSHIP TR
636185193,BESSIE MILLER DAUGHTRY SCHOLARSHIP TR 1515027407
650464177,JOHN S AND JAMES L KNIGHT FOUNDATION INC
656160628,VOORHIES SCHOLARSHIP TR FUND
710510772,BEARDEN LUMBER CO SCHOLARSHIP FDN INC
710831987,ARKANSAS CATTLEWOMENS FOUNDATION
721170481,ROBERT J FREEDMAN SR SCHOLARSHIP FUND 3650043200
731488498,FUNK EDUCATIONAL FOUNDATION
736296081,CLYDE R EVANS SCHOLARSHIP AWARD TRUST
742020629,WILEY COMMUNITY SCHOLARSHIP INCORPORATED
742157960,THE FATHER JOE ZNOTAS MEMORIAL SCHOLARSHIP FUND
742249109,CHARLES H WOODARD & BYRYL GRISWOLD WOODARD MEMORIAL SCHOLARSHIP TRUST
756268622,KERFOOT SCHOLARSHIP FOUNDATION
760201807,KELLY GENE COOK SR CHARITABLE FOUNDATION INC
760428361,VINSON & ELKINS LLP SCHOLARSHIP FOUNDATION
810533021,JIM AND DORIS DALEY SCHOLARSHIP FOUNDATION
811781308,O R BUB HULL SCHOLARSHIP FOUNDATION
813072927,EMENIKE-OGUNNAIKE CHARITABLE FOUNDATION INC
815296327,DANOWITZ HYMAN CHARITABLE TUA
816013249,FLATHEAD EDUCATIONAL FOUNDATION
816091115,MARGARETTA LEAVITT TR
821757564,1992 TIPGOOMOOGUS MEMORIAL TRUST
821931224,AARON PRICE FELLOWS FOUNDATION
822303270,ARLINGTON MASONIC BENEVOLENCE FOUNDATION
841785294,MY MANAS FOUNDATION
841990666,RICHARD J AND EVELYN P@TALLMAN HONESDALE EDUCATION ENDOWMENT TRUS
396769479,EDWIN & LUCILLE EGGEN SCHOLARSHIP FD TR
396785837,ELSIE M OCONNELL TEST TR
396803252,BLOYE TR FBO UW-OSHKOSH FDN 040009446700
843154354,BACH SCHOLARSHIP FOUNDATION INC
844157555,LARIAT FUTURE INNOVATORS FOUNDATION LLC
844997527,TAHNAZBAH CAROL KALLICO SCHOLARSHIP FOUNDATION INC
846212183,RUTH MARGARET GREEN SCHOLARSHIP FUND
846268159,BONNIE LANGSTON MEMORIAL SCHOLARSHIP TRUST
846270490,CLARK SCHOLARSHIP FUND
396320561,ERNA MARIE NEHLS SCHOLARSHIP TRUST
850479006,NEW MEXICO BROADCASTERS ASSOCIATION FOUNDATION INC
396514224,HASELHOFER-WOLF SCHOLARSHIP FUND TR
396498404,MAX H ALBERTS SCHOLARSHIP FUND UW
396500681,CLARENCE AND ELLA KELLER SCHOLARSHIP
852885396,CHARLES AND VONAYA CANNON FOUNDATION
853291775,PETSMART SCHOLARSHIP FOUNDATION
856284698,DONALD R RAY & BETTY M RAY COLLEGE SCHOLARSHIP FUND CHARITABLE TR
396626017,AGUSTIN A RAMIREZ JR FAMILY FOUNDATION
396631861,STEPHEN DOUGLAS KANDER SCHOLARSHIP FUND
860421476,FLINN FOUNDATION
421339046,CARRIE AND OREN IGOU SCHOLARSHIP TR
396653147,KATHRYN JOHNSON SCHOLARSHIP FUND
861266015,OTEC MEMBER FOUNDATION INC
396672759,CLARENCE & OLIVE MIKSCH RICHARDS SCHOLARSHIP FUND TR 30111115090400
862423514,WELLSVILLE HIGH SCHOOL GRADUATING CLASS OF 1981 SCHOLARSHIP FUND
862596473,KHYANA SKY MORALES FOUNDATION INC
862601978,MO PIE U SCHOLARSHIP FUND
456056367,KINGSLEY T DAVIDSON SCHOLARSHIP TRUST
866051637,DOUGHERTY FOUNDATION INC
870627983,ELIZABETH CURTIS SCHOLARSHIP TR 4560
223059155,BURROWS FOUNDATION
136113938,SAWYER SCHOLARSHIP FOUNDATION
141597911,WILLIAM G & RHODA B PARTRIDGE MEMORIAL SCHOLARSHIP FUND
146138823,JOHN MAURO MEMORIAL SCHOLARSHIP FUND
166020842,SCALP & BLADE SCHOLARSHIP TRUST
166076060,E BRINK TRUST UW SCHOLARSHIP FUND 18 251060
166243756,RUTH W CHAMBERLIN SCHOLARSHIP TRUST
166476836,MINCOLLA FOUNDATION
206387495,MARGARET PATRICIA EAGAN CHARITABLE FOUNDATION TRUST
222451622,LILLIAN THOMPSON SCHOLARSHIP FUND INC
222709285,RICKER COLLEGE SCHOLARSHIP & ENDOWMENT COMMITTEE
222777121,DEO B COLBURN EDUCATION FOUNDATION
223662926,SAMUEL A DONIO FOUNDATION FOR EDUCATION INC
237790152,CECELIA HAND NELSON & MORGAN HAND II MEMORIAL SCHOLARSHIP 1513850404
237873028,MORGAN HAND II SCHOLARSHIP FUND 1513601665
256373763,MELVIN H & THELMA N JENKINS SCHOLARSHIP TRUST 09-10-91 FBO
256641691,HELEN M SCHIFFNER SCHOLARSHIP FUND
262271714,WANDA KANE SCHOLARSHIP FOUNDATION
275040651,STEPHEN PHILLIPS MEMORIAL SCHOLARSHIP FUND INC
276037438,LOUIS HENRY GROSS SPONSORSHIP FOUNDATION
276393870,MARY BIGLER HINKLE TUW SCHOLARSHIP FUND
276509486,JUSTIN SMITH MORRILL SCHOLARSHIPS
277036640,GRACE S DARLING TUW SCHOLARSHIP FUND
316617961,MORRIS SHAVER SCHOLARSHIP FUND 24-296750
352429796,AELA & DONALD MORGAN CHARITABLE FOUNDATION
356732935,HERBERT E SCOTT &DOROTHY M SCOTT MEMORIAL SCHOLARSHIP TR
471622774,HAMILTON TOWNSHIP STUDENTS ADVANCED STUDY SCHOLARSHIP TRUST
471995599,CITIZENS SCHOLARSHIP COMMITTEE OF PITMAN INC
473551898,GEORGE DALY MEMORIAL SCHOLARSHIP FUND
521788958,ALEXANDER TILLY SCHOLARSHIP FUND
542137988,JOSEPH J GRANO JR SCHOLARSHIP FOUNDATION
821082787,MAIJA GOLDEN CREATIVE WRITING FOUNDATION INC
821432348,AIM HIGH CHARITABLE TRUST
821503998,WORTHINGTON SCHOLARSHIP FOUNDATION
821981573,TERRA BELLA EDUCATIONAL ADVANCEMENT FUND INC
824717403,MASTERCARD IMPACT FUND
830773547,ROBERT KELEHER PRIVATE FOUNDATION INC
833241708,JUSTIN B WEAVER SCHOLARSHIP FUND INC
836068329,ROBERTA M KNAPP TESTAMENTARY TRUST
843223773,SERVICE CREDIT UNION IMPACT FOUNDATION
852495032,RAISE THE VOLUME
883595893,WORCESTER WAY FOUNDATION
884104897,FICAAR FOUNDATION
886566508,EDWARD D AND PATRICIA K MILLER SCHOLARSHIP FUND FOR BOSTON COLLEG
411974262,AFFINITY PLUS FEDERAL CREDIT UNION FOUNDATION
416038562,THE W R HOTCHKISS FOUNDATION
416045814,ELY-WINTON HOSPITAL ASSOCIATION SCHOLARSHIP FUND TRUST
421368808,RINO AND RUTH DELLAVEDOVA SCHOLARSHIP TRUST
461415552,LINCOLN HEIGHTS ALUMNI SCHOLARSHIP FUND
461723396,UMSIZI FUND
464612008,ARTHUR M PETERS FAMILY SCHOLARSHIP FUND 47F108014
465382571,BEEMOK FAMILY FOUNDATION
465452276,TRIPP HEALY FOUNDATION
466235199,VELMA A DENNY SCHOLARSHIP TR
470661404,LEONARD & LEWISE FOREMAN KIMBALL COUNTY SCHOLARSHIP FUND
470993488,1 FOR 2 EDUCATION FOUNDATION
471679188,PEELE PLATFORM INC
473885242,ANDIS FOUNDATION INC
475603437,MARLENE A SMITH FOUNDATION
476194021,THE HAWKS FOUNDATION
476525342,ANNA M MACRAE SCHOLARSHIP TRUST
476638866,RPH SCHOOL OF NURSING SCHOLARSHIP TR GIVEN BY THE LINDERMAN-MCGLEN
510158963,NATHAN F & EDNA L PERRY SCHOLARSHIP
510172011,OTTO VILLWOCK MEDICAL EDUCATIONAL SCHOLARSHIP FUND
510180046,CAROL E MACPHERSON MEMORIAL SCHOLARSHIP FUND INC
522316579,NHHS ALUMNI INC
510602145,W J JANSZEN JR-CMC EDUCATIONAL TR
521901554,ESTONIAN-REVELIA ACADEMIC FUND INC
522135767,MARYLAND-DELAWARE-DC PRESS FOUNDATION INC
526489401,M EDDIE MOORE SCHOLARSHIP TRUST
541643750,ALL SAINTS SCHOLARSHIP FUND
541658362,THE W C ENGLISH SCHOLARSHIP FOUNDATION
541669283,SCOTT & STRINGFELLOW EDUCATIONAL FOUNDATION
541727339,STRASBURG COMMUNITY SCHOLARSHIP TRUST FUND INC
541922206,GANG FAMILY FOUNDATION
541945504,MARIE A DORNHECKER FOUNDATION
546405104,EARLE J SCHLARB SCHOLARSHIP TRUST
546503829,WILLIAM BOWEN COPP & GRAYDON S COPP AGRICULTURE EDUCATION TR
550709058,ARTHURS ENTERPRISES INC SCHOLARSHIP FOUNDATION
556096793,CHARLES L & ANNA N GAULT SCHOLARSHIP FUND
561941869,HELEN S AND JULIUS L GOLDMAN SCHOLARSHIP FUND INC
562048446,PATRICK BEAVER SCHOLARSHIP FOUNDATION INC
566093510,COATS NORTH AMERICAN EDUCATIONAL FOUNDATION
566486563,ALTON BRIDGERS MEMORIAL SCHOLARSHIP TR
566650052,EDMUND H LONG AND BLANCHE LONG TR
576207750,DORIS BANKS HENRIES SCHOLARSHIP TRUST UW LT0029
610999505,ALBERT L THOMAS AND HAZEL A THOMAS MEMORIAL SCHOLARSHIP TRUST
611163331,HELEN K CARNEY SCHOLARSHIP FUND
611417298,TERRELL H DUNNAVANT SCHOLARSHIP FUND INC
611467176,LOLA G DUFF & WILLIAM DUFF II SCHOLARSHIP FUND
616019485,ELIZABETH BRECKINRIDGE SCHOLARSHIP FUND TRUST
626398586,WILLIAM M BLANKENSHIP & ADAM JUSTICE MEMORIAL SCHOLARSHIP FUND
710965198,DAVID JAMES PROHASKA SCHOLARSHIP FOUNDATION
726118421,VERNA LILLY DODD SCHOLARSHIP TRUST 3601045300
742256469,FAY T BARNES SCHOLARSHIP FUND
752744096,PIPE LINE CONTRACTORS ASSOCIATION SCHOLARSHIP FOUNDATION
800922200,ASCUAGA CHARITABLE FOUNDATION 040017519200
806262696,GLADYS GERRITY SCHOLARSHIP TR
810515266,SUHR FAMILY MEMORIAL SCHOLARSHIP FUND
810587182,KELLOGG PROGRAMS INC
814136868,JACOB DAVIDSON MEMORIAL SCHOLARSHIP FOUNDATION INC
