EIN,Organization Name
814784235,DAVIS H ELLIOT COMPANY EDUCATIONAL FOUNDATION
814933506,NUFFIELD INTERNATIONAL FARMING SCHOLARSHIPS- U S A ASSOCIATE INC
816045912,FRED & MARIE BARNARD SCHOLARSHIP FUND
816087202,ANNE BENSON SCHOLARSHIP TRUST FUND
816502178,CHARLES ZANE EMANUEL EDUCATION SCHOLARSHIP TR FUND
833109542,A ORLEN BRACH AND BARBARA BRACH WARD SCHOLARSHIP FUND
834301657,A BULLDOG COLLEGE DREAM SCHOLARSHIP NFP
836164562,ROZ PATTON SCHOLARSHIP TRUST
836353356,FLOWER UNIVERSITY OF ILLINOIS SCHOLARSHIP TR
852250531,WALTER H BEERS AND DORRIS ANN BEERS PRIVATE FOUNDATION
856536903,SUSAN TERRY FOLEY MEMORIAL SCHOLARSHIP FUND
861446609,JACK G BLACK SR FOUNDATION
866678367,BINGHAM FAMILY CHARITABLE TR
866314082,RACHEL S MACKENZIE SCHOLARSHIP FUND
866709505,INUA TR
871686839,FALCON FOUNDATION
873373390,UPPER ARLINGTON OPTIMIST CLUB SCHOLARSHIP AND CIVIC FUND
873568395,NESTLE SCHOLARSHIP FOUNDATION
874078953,PETERMAN SCHOLARSHIP FUND
876609740,CLAPPER SCHOLARSHIP FUND
881454869,SANDRA DENISE HILL MEMORIAL SCHOLARSHIP
882563838,ROBBINS FOUNDATION
900246585,RAY & RUTH DRAKE SCHOLARSHIP FUND OAG 05-36581055224003
916312239,FERNDALE BAND MEMBER SCHOLARSHIP FOUNDATION
916564202,AITKENHEAD MEMORIAL SCHOLARSHIP TR
916565775,JESSIE MAY RIGGS STUDENT SCHOLARSHIP FUND 050007410700
916566234,JOSEPH S BALL KLAMATH SCHOLARSHIP INTERVIVOS TR FUND 050007411300
916569191,ELWELL-COLVIN SCHOLARSHIP FUND
916570706,R MACKENZIE ATHLETIC SCHOLARSHIP TR
871134196,KL SCHOLARSHIP PRIVATE FOUNDATION INC
882340135,NACHA MENDEZ SCHOLARSHIP FOR NEW MEXICAN GIRLS OF COLOR
930765047,OREGON ASSOCIATION OF PUBLIC ACCOUNTANTS SCHOLARSHIP FOUNDATION
936023726,GEORGIA-PACIFIC FOUNDATION
936178135,ELDA WASHER SCHOLARSHIP FUND
936311484,GERALDINE BAGLEY EDUCATION TRUST
942747657,JACK A HARRIS MEMORIAL SCHOLARSHIP FUND
943265060,CHRYSOPOLAE FOUNDATION
946067623,BOYE SCHOLARSHIP TRUST
946069688,GEORGE GROTEFEND SCHOLARSHIP FUND
946123913,STERLING REDMAN TRUST
946129111,SACRAMENTO ASSOCIATION OF REALTORS SCHOLARSHIP FOUNDATION TRUST
946293818,CENTRAL VALLEY HIGH SCHOOL SCHOLARSHIP FUND
946700587,C E TOWNE SCHOLARSHIP FUND 627
946720523,ELVA & WARREN HORNSBY SCHOLARSHIP FUND
946725361,RAYMOND A TICE SCHOLARSHIP TR 062896
953820054,HEFFLEFINGER SCHOLARSHIP FUND
954525543,ANN WELCH PEARSON SCHOLARSHIP FDN FOR EDUCATIONAL EXCELLENCE
954583564,WHITTIER LIONS FOUNDATION
954709973,STRATTON-PETIT FOUNDATION
954755672,THE RODDENBERRY FOUNDATION
981671042,MUSE FOUNDATION
990268061,HARRIET BOUSLOG LABOR SCHOLARSHIP FUND
990600370,FUKUNAGA SCHOLARSHIP FOUNDATION
996003339,IDA M POPE MEMORIAL SCHOLARSHIP FUND
996082996,RICHARD & ELEANOR IMAI SHIN BUDDHIS SCHOLARSHIP CHARITABLE FOUNDATION
411778518,JOE FRANCIS HAIRCARE SCHOLARSHIP FOUNDATION
426144737,THOMAS L & MABEL GRACE JONES SCHOLARSHIP FUND
426275922,GEORGE MARSH SHEETS SCHOLARSHIP TRUST
236492070,MIRIAM WENDLE SCHOLARSHIP TR UW
113785133,BROOKSIE A PEYTON FOUNDATION
200263777,DEANA KENDRICK FOUNDATION INC
200673220,CARL ROCKWOOD SCHOLARSHIP FUND
146082789,FRANCES WEICHERT PEASLEY TRUST SCHOLARSHIP FUND
166204852,WENDY WALKER MEMORIAL SCHOLARSHIP FUND TRUST 101040075100
166250069,HELEN KELLY SCHOLARSHIP FUND
205743809,SARAH I TURNER SCHOLARSHIP AWARD TRUST
206919886,NANOVIC FAMILY MEMORIAL SCHOLARSHIPFUND
237089108,DR T F MANLEY SCHOLARSHIP FUND
236422732,WILLIAM H LUDEN SCHOLARSHIP FUND
236516993,GUY L MOSER SCHOLARSHIP FUND
236523865,H LORENS CLEMENTS SCHOLARSHIP FUND
236790141,EDWARD & HANNAH WINGARIS SCHOLARSHIP FUND AMERICAN BANK
206408218,DWIGHT & VIRGINIA DEEN SCHOEFF SCHOLARSHIP TR
237418805,JOSEPH F IMBS II SCHOLARSHIP FOUNDATION
136591417,TRUST UW ROMER C BORST FBO NANUET HIGH SCHOOL SCHOLARSHIP FUND
263893972,RAMAR SCHOLARSHIP FOUNDATION INCORPORATED
273586135,COSTA FARMS SCHOLARSHIP FOUNDATION INC
166038545,HARRISON EARL & FRANCES SMITH SCHOLARSHIP FUND NECT
320185357,KMR GROUP FOUNDATION
330245562,MARVIN BOYER MEMORIAL SCHOLARSHIP FUND
237434090,RAY & GERTRUDE M WEBB SCHOLARSHIP FUND
364663132,WESTERN SHOSHONE SCHOLARSHIP FOUNDATION
251419907,ALLENE S TRUSHEL SCHOLARSHIP TRUST
256079669,MARY ANN IRVIN SCHOLARSHIP FOUNDATION
251709602,ALTON AND MILDRED CROSS SCHOLARSHIP FUND
416045981,ANNA M KUHL SCHOLARSHIP TRUST
416556842,TERESA MANESS EDUCATIONAL FOUNDATION
256534799,BERNOSWKI SCHOLARSHIP TRUST FUND
341584377,JOHN L COHILL MEMORIAL SCHOLARSHIP FOUNDATION
341820183,JOHN S KNIGHT MEMORIAL JOURNALISM FUND CORPORATION
341966354,BHS ENDOWMENT FUND
346520257,TIMKEN COMPANY CHARITABLE & EDUCATIONAL FUND
346915071,THE DONALD EBERLY AND THELMA BOWMAN EBERLY SCHOLARSHIP FUND
351890053,MARY JEAN DEEGAN SCHOLARSHIP FUND
351938040,MARY K GARR SCHOLARSHIP FOUNDATION
352018090,BOWEN SCHOLARSHIP FUND
352113954,JOHN A & DOROTHY H GEYER SCHOLARSHIP FUND
352223045,JAMES A BLUM AND GLENICE M TREMBLIN BLUME MEMORIAL SCHOLARSHIP FUND
352321910,TAEGE FAMILY FOUNDATION INC
356017351,KUHNER SCHOLARSHIP FOUNDATION
356017466,BENJAMIN F & EMMA B SHROYER SCHOLARSHIP FUND
356051256,CLIFFORD L & DAISIE B AMBURN MEM SCHOLARSHIP FUND
356279390,LILLIAN R COLEMAN SCHOLARSHIP FUND TR UW 2835174011
356326717,MABEL S EPLER SCHOLARSHIP FUND
356415393,BOBBY BUERGER SCHOLARSHIP FUND
356433778,T W WILDERMUTH SCHOLARSHIP LOG TUW
356451715,M MAXINE PIERCE HONECKER MEMORIAL SCHOLARSHIP FUND
356527663,BERNIE H AND MARY L HUMPHREY SCHOLARSHIP FUND
356532078,LULA MAE BLAIR SCHOLARSHIP TRUST
356548300,BETTY KIRKPATRICK SCHOLARSHIP FUND
356615379,EVELYN M BARRAND AND BLANCHE E BRADFORD MEMORIAL SCHOLARSHIP FUND
363151919,BUSHNELL ARTS FOUNDATION
363967580,VERL I BROOKS SCHOLARSHIP FOUNDATION
363504495,ELLIOTT HEMINGFORD SCHOLARSHIP FOUNDATION INC
363739289,BEAM SUNTORY DISTRIBUTORS FOUNDATION
364153609,AUF FOUNDATION
363830855,ROBERT D ELLIOTT SCHOLARSHIP FOUNDATION
363923844,BERNER CHARITABLE & SCHOLARSHIP FOUNDATION
364323858,OBERLIN CHARITABLE TRUST
367034538,ELIZABETH B DAMATO SCHOLARSHIP TRUST
367139850,RALPH & CONSUELO GREEN SCHOLARSHIP TRUST
367139856,JAMES & LENA HALSEY EDUCATIONAL TRUST
371068786,PEORIA MEDICAL SOCIETY CHARITABLE AND EDUCATIONAL FOUNDATION INC
371098809,NICK CARTER SCHOLARSHIP FUND
371206707,GEM CITY SCHOLARSHIP FOUNDATION
371248386,MARY PERISHO & NINA RALL MCCONKEY SCHOLARSHIP TRUST
371318513,MARSHALL EDUCATION TRUST FUND
376024842,MARIE B MCKINLAY SCHOLARSHIP TRUST
376115083,IVA W & ROY HENRY SCHOLARSHIP TRUST
376185245,PAULINE LINEBARGER MCCLAIN AND RILEY MCCLAIN SCHOLARSHIP TRUST
376238156,MYRNA M JOHNSON MEMORIAL TRUST SCHOLARSHIP FUND
376249017,ALETHA J HONNOLD FINE ARTS SCHOLARSHIP TRUST
376258368,DEE WILSON SCHOLARSHIP FUND THE CITIZENS NATIONAL BANK OF PARIS TR
376267157,LOUISE J JONES SCHOLARSHIP TRUST
376271038,GENE RUDISILL NURSING SCHOLARSHIP FUND TRUST
376280528,MILLER SCHOLARSHIP TRUST
376341841,OTTO BENDER SCHOLARSHIP TR NO 895
381687120,MCCURDY MEMORIAL SCHOLARSHIP FOUNDATION
383189964,STEWART FAMILY CHARITABLE FOUNDATION
383624064,RAVAL EDUCATION FOUNDATION INC
383330588,THE LEGION FOUNDATION
384167848,ANN PIPER SCHOLARSHIP TRUST
386092543,WINSHIP MEMORIAL SCHOLARSHIP FOUNDATION
386390874,FRED & FLORENCE DENGLER SCHOLARSHIP FUND TRUST
386403208,EDNA B MEAD SCHOLARSHIP FUND
391661743,HERB KOHL EDUCATIONAL FOUNDATION INC
386601371,JOHN BEES JR AND NESBETH E BEES SCHOLARSHIP FUND
386619088,WILSON SCHOLARSHIP FUND
386658848,RUBY L GIBBS CHARITABLE TRUST
386720940,OTTO AND HELEN ROETHKE MEMORIAL SCHOLARSHIP FUND
386738557,HERBERT A & FLORENCE P GILLES SCHOLARSHIP TR
386842423,JOHN ELISE AND ELLEN GOEPPER SCHOLARSHIP FUND
387064690,MARY JANE CAR SCHOLARSHIP FUND
391336290,MOSES AND CAROLINE SHALLOW SCHOLARSHIP FOUNDATION INC
391570329,CYNTHIA ASPLUND MITCHELL MEDICAL SCHOLARSHIP FUND INC
391712984,JOSEPH & BETTY PROHASKA SCHOLARSHIP FOUNDATION
391734323,HOLT FAMILY SCHOLARSHIP FOUNDATION
391769065,SEYMOUR COMMUNITY SCHOOL SCHOLARSHIP TRUST
431589370,THE DRED AND LULA FINNELL TRUST
431713377,ERNEST & LILLIAN SWANSON MEMORIAL SCHOLARSHIP TRUST
431818513,GEORGE R & MARY FRANCES NICHOLS FOUNDATION
431825689,GENE KAUFFMAN SCHOLARSHIP FOUNDATION INC
831896992,CHAS & NORMA MILER MEMORIAL SCHOLARSHIP
832080993,WARREN GEORGE CULLING SCHOLARSHIP FUND INC
832098538,PICULELL FOUNDATION
841159797,ROTARY CHAMPIONS PIKES PEAK INC
396694943,LUCILLE M WELLS SCHOLARSHIP FUND
811323956,MILLER OIL SCHOLARSHIP PROGRAM
823179818,DERRY FOUNDATION
426139416,KEECH SCHOLARSHIP FUND
426263109,ALBERT P AND EDNA LOUISE WENIEKE SCHOLARSHIP FUND
411929671,WINGS FINANCIAL FOUNDATION
274392768,SAAB FAMILY FOUNDATION
166542975,J L WEIGAND JR NOTRE DAME LEGAL EDUCATION TR
136967610,J R HYDE JR SCHOLARSHIP FUND
200248335,ROCKWOOD FOUNDATION
202059847,HAMP FOUNDATION INC
436160750,WITSCHNER IRA K TRUST D
203523027,CLIFFORD AND IRMAJEAN MOE SCHOLARSHIP FUND
236215616,EST E PENDLETON SCHOLARSHIP FD NJ TW
236215650,CAROLINE A H MYERS FBO SCHOLARSHIP FD 4947 TUW
236441277,MARTHA E YERKES TR-SCHOLARSHIP A 2334A NECT
203790160,UNITED SLOVAK SOCIETIES
237044487,MANCINI CHARITABLE FOUNDATION
204961012,WILLIAM B HARRINGTON MEMORIAL SCHOLARSHIP FUND
206949515,JOSEPH R EVERY SCHOLARSHIP FUND
206975298,THE@LAVERE LEONARD AND GLADYS LORAINE CHASE SCHOLARSHIP FUND
256892420,LARSON MINISTRY SCHOLARSHIP FUND IRREV
256893793,FLORENCE E ECKHARDT SCHOLARSHIP FUND
263831651,JIMMIE L DEAN SCHOLARSHIP FOUNDATION INC
264313935,SELDEN DANIELS MEMORIAL SCHOLARSHIP FUND
136088936,CARLE C CONWAY SCHOLARSHIP FOUNDATION
236887468,MABEL ZIMMERMAN AND ADELIA KLINGER SCHOLARSHIP FUND
300065137,HARVEY SAMUELSEN SCHOLARSHIP TR
223626551,SAMUEL H JONES JR SCHOLARSHIP GRANT TR HENRY PAULDING MEMORIAL
237265519,DICKINSON COUNTY WAR VETERANS SCHOLARSHIP ASSOCIATION
237385854,HENRY S PERNOT SCHOLARSHIP FUND
237903348,VIRGINIA SHOEMAKER TRAX TRUST
367233377,MYERS CHAR TR
200508968,NINETY ONE SCHOLARSHIP FUND
156015734,STEUBEN SCHOLARSHIP FUND TRUST F288 16208500
396779410,ROLAND GROSS MEMORIAL SCHOLARSHIP FUND
421350542,MERLIN & ETHYL RUFER SCHOLARSHIP TRUST
680204312,MAKING WAVES FOUNDATION INC
742602147,TEXAS BANKERS FOUNDATION
256119807,HELEN BRICE SCHOLARSHIP FUND ACCOUNT
421079557,TOBEN SCHOLARSHIP FUND
113433858,CENTER FOR THE HOLOGRAPHIC ARTS INC
131623877,ALFRED P SLOAN FOUNDATION
233100335,WILT CHAMBERLIN MEMORIAL FUND INC
260771142,J T - MINNIE MAUDE CHARITABLE TRUST
261277697,RUBY AND GIB STRATE FAMILY FOUNDATION INC
261622663,EMMES FOUNDATION INC
262826346,NORTON SCHOLARSHIP TRUST
262950437,RUSSELL STANDARD FOUNDATION
263499322,KOTOWSKI MEMORIAL SCHOLARSHIP FOUNDATION
264609846,CONCORD EDUCATION FOUNDATION INC
264621877,TIFFIN EAGLES SCHOLARSHIP FOUNDATION INC
266532056,MERRILL BEULAH MEMORIAL TRUST
271348646,CLAMBAKE SOCIETY SCHOLARSHIP
272887092,HALLS FREE SCHOOL FOUNDATION
276294512,BETTY COUGHLIN CHARITABLE TR
276400625,RALPH HAUGSE MEMORIAL TR
276465286,FRANK J AND INES MELESKI SCHOLARSHIP TR
276794961,MARY ANN WALTERS SCHOLARSHIP FUNDS TR UW
300560908,TRUSTONE FINANCIAL FOUNDATION
306004779,JANET E HENRY SCHOLARSHIP TR
306018609,THE KATHRYN M BRATTON AND RODHAM N PETERSON SCHOLARSHIP FOUNDATION
310902261,NICKLIES SCHOLARSHIP TUW CHR
311014220,WILLIAM F WAHL AND GERTRUDE B WAHL SCHOLARSHIP TRUST
311038789,CLAUDE AND VERNE LINE SCHOLARSHIP FUND TRUST
311148328,JAMESTOWN AREA FOUNDATION INC
311415657,R EARL BLAND & HAZEL BLAND SCHOLARSHIP FOUNDATION
311445924,LORRAINE M TAYLOR SCHOLARSHIP FUND
311634460,FARMERS UNION INDUSTRIES FOUNDATION INC
311717147,LLOYD W & VIRGINIA D RITTENHOUSE CHARITABLE FOUNDATION 1800097500
311768690,AMERICAN SOCIETY OF NEUROIMAGING EDUCATION FOUNDATION INC
316342455,DON AND WINONA MANIFOLD SCHOLARSHIP FUND
316447467,FREDERICA NEVA & ABRAHAM JAFFE SCHOLARSHIP FUND FBO COLON H S
316485463,NICKOLAS P DOUGLAS SCHOLARSHIP TRUST
316496302,LEWIS FRANKLIN PALMER AND MAJORIE STEWART PALMER SCHOLARSHIP FUND
316496564,JEANNE SOUERS GARCIA SCHOLARSHIP TRUST
316511170,MERVIN BRITTON MEMORIAL SCHOLARSHIP FUND
316546256,EDNA & HARVEY EAGLE SCHOLARSHIP TR
316630557,ALMEDA LEAKE TOOMEY SCHOLARSHIP FUND
316630558,THE ALMEDA LEAKE TOOMEY SCHOLARSHIP TRUST
326251524,ORVILLE & LAURENE WATTS SCHOLARSHIP FUND
331051656,JAMES L MADDEN HOSPITALITY SCHOLARSHIP FOUNDATION INC
742437013,BPOE NO 385 SCHOLARSHIP FOUNDATION
742622816,CORPUS CHRISTI GEOLOGICAL SOCIETY SCHOLARSHIP TRUST FUND
742897600,THE PEDERNALES ELECTRIC COOPERATIVE SCHOLARSHIP FUND
746456632,IRENE MURDOCK EDUCATIONAL TRUST
751220266,SID RICHARDSON MEMORIAL FUND
752227488,PHILLIPS HERNANDEZ SCHOLARSHIP FOUNDATION
752267762,KRISTY M LANDERS MEMORIAL SCHOLARSHIP FUND
752736858,BARNEY M KENT AND HESTER KENT SCHOLARSHIP TRUST
752986747,FOUNDATION FOR SOCIAL EQUITY
756020781,ABELL-HANGER FOUNDATION
756023767,J F MADDOX FOUNDATION
822913796,PINO MANUEL A SCHOLARSHIP FUND
826060381,RICHARD C HUMPHREYS MEMORIAL SCHOLARSHIP TR
826066650,FRIEDMAN LOAN & SCHOLARSHIP FUND TR 005084
826079951,ALICE R & ED E PALMATIER FOUNDATION
830324160,BUFFALO HIGH SCHOOL DEVELOPMENT FUND INC
830883648,TRUECARE CHARITIES INC
831402265,SCOTT CITY VETERANS SCHOLARSHIP FOUNDATION
223208678,GEORGE B GREEN SCHOLARSHIP TRUST
223269387,WILLIAM MAKEPEACE ATWOOD SCHOLARSHIP FUND
226333205,RAMSAYE COLLEGE SCHOLARSHIP TRUST
226666043,PETER ELLIS VAN DOREN SCHOLARSHIP FUND
232650705,GLADYS TOZIER MEMORIAL SCHOLARSHIP TRUST
266685226,DAVID R COUCH EDUCATION FUND
832401568,SEAN DARMODY GREENE SOCIAL JUSTICE SCHOLARSHIP
871593392,FRIENDS OF PAUL VI HIGH SCHOOL
396257040,BENTON & LOUISE HALE MEMORIAL SCHOLARSHIP
421305042,RICH EYCHANER CHARITABLE FOUNDATION
426054236,GRACE F TSCHIRGI SCHOLARSHIP FUND
426073848,BRIGHT FOUNDATION
426125502,W E RUEBUSH FOUNDATION
426370219,FIELD MEMORIAL SCHOLARSHIP TRUST
426543700,HARLAND AND GENEVIEVE EMERSON FOUNDATION
426563588,DR KENNETH N ANDERSEN FAMILY SCHOLARSHIP TRUST
426621292,MINNIE JANE SYLVESTER SCHOLAR SHIP TR
431752318,LEGGETT & PLATT SCHOLARSHIP FOUNDATION
436009612,THOMAS M PAUL MEMORIAL TRUST
452735138,DEFINE AND MUHTAR KENT EDUCATIONAL FOUNDATION
456710175,HELLER FAMILY SCHOLARSHIP TR
926345299,ETHEL MARS CHARITABLE TR
930690661,CARL AND DOROTHY CROW SCHOLARSHIP FUND
936020612,CRISWELL SCHOLARSHIP FUND
936022322,E E WILSON SCHOLARSHIP FUND
936026691,JEFFERSON SCHOLARSHIP FUND
936155856,JOHN LAMAR COOPER SCHOLARSHIP-LOAN FUND
936163624,WALTER L J DAVIES MEMORIAL SCHOLARSHIP FUND
936262437,G RUSSELL MORGAN SCHOLARSHIP FUND 2284200
936299754,MYRTA E OTTERDALE MEMORIAL SCHOLARSHIP FUND 2458100
936331222,DALE KRUEGER SCHOLARSHIP FUND
936341760,ALVINA D FRISBIE SCHOLARSHIP FUND
943276752,DON AND ROY SPLAWN CHARITABLE FOUNDATION WEST INC
956111386,THOMAS & JENNIE HIEBLER MEMORIAL SCHOLARSHIP FUND-TRUST 11946-00-4
990281966,THE GROMET FOUNDATION
882511605,PANERA DREAM SCHOLARSHIP INC
911067412,JESSIE PEPPER PADELFORD SCHOLARSHIP SIGMA KAPPA ALUMNAE
911161886,GREATER MOSES LAKE ROTARY SCHOLARSHIP FOUNDATION
911493471,LINK EDUCATIONAL SCHOLARSHIP FUND
911505735,BLAKEMORE FOUNDATION
911620836,KELLY FOUNDATION OF WASHINGTON
911658180,HELEN M CLANCY SCHOLARSHIP FOUNDATION
911703337,BECU FOUNDATION
911997459,THE CHARLES LELA AND MARY SLOUGH FOUNDATION
916340047,ED & EDITH MILLER SCHOLARSHIP FUND
912135270,WILLIAM AND ESTHER LITTLE JOHN FOUNDATION
916023774,NELLIE MARTIN CARMAN SCHOLARSHIP TRUST
916326487,ROBERT W RICHARDSON MUSICAL EDUCATION SCHOLARSHIP FUND
920068447,ARCTIC EDUCATION FOUNDATION
920154160,OLD HARBOR SCHOLARSHIP FOUNDATION INC
920447546,KEILEY WALDROP SCHOLARSHIP ASSOCIATION
920157584,UIC FOUNDATION INC
920161386,THE EYAK FOUNDATION
922831211,LEANORA LAMBERT EDUCATION FOUNDATION
923877148,COACH DEETS SCHOLARSHIP FUND
956145279,CALIFORNIA JUNIOR MISS SCHOLARSHIP FOUNDATION
956530377,IVIE FRANCES WICKAM SCHOLARSHIP TRUST A CHARITABLE TRUST
